L1,Al,As,Cd,Cr,Cu,Fe,Hg,Ni,Pb,V,Zn,TBT,PCB28,PCB52,PCB77,PCB81,PCB101,PCB118,PCB126,PCB128,PCB138,PCB153,PCB156,PCB169,PCB180,Somma DDD,Somma DDE,Somma DDT,Clordano,Aldrin,Dieldrin,Endrin,aHCH,bHCH,gHCH Lindano,Eptacloro epossido,HCB,Idrocarburi C 12,Naftalene,Antracene,Fenantrene,Acenaftilene,Acenaftene,Fluorene,Fluorantene,Pirene,Benzo antracene,Crisene,Benzo fluorantene,Benzo pirene,Benzo fluorantene,Indeno pirene,Benzo perilene,Dibenzo antracene,Somma_IPA_16
MEDIO,1317.15909090909,6.54573863636364,0.106818181818182,5.39090909090909,12.6704545454545,15960.2272727273,-1,22.6136363636364,12.1045454545455,26.4727272727273,57.3863636363636,9.7809780525797,2.243,1.507,-1,-1,1.355,1.135,-1,,1.55,1.865,0.222,-1,0.733,0.6336,0.3808,1.3118,0.029,-1,-1,-1,-1,-1,-1,-1,0.06,19000,1.816,5.524,20.692,4.054,2.643,10.455,33.755,38.969,10.047,13.723,25.82,16.297,18.583,20.282,16.117,5.289,244.066
ASSENTE,2572.83378746594,7.74604904632153,0.035694822888283,2.06539509536785,3.7874659400545,8822.88828337875,0.031280653950954,11.1444141689373,2.26294277929155,25.1705722070845,13.433242506812,0.734387184945576,0.05,0.113,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0377,0,0.1561,0,0,0,0,0,0,0,0,0,12500,6.235,0.1,4.221,0.664,0.1,2.111,0.464,0.528,0.1,0.222,0.245,0.1,0.1,0.1,0.227,0.1,15.617
MEDIO,4530.41916167665,8.47814371257485,0.067365269461078,4.48502994011976,13.8323353293413,13805.3892215569,0.065269461077844,20.7784431137725,6.43083832335329,33.8556886227545,33.7724550898204,2.0055772197418,0.229,0.148,0.05,0.05,0.129,0.05,0.05,0.05,0.199,0.287,0.05,0.05,0.13,0.5763,0.1575,0.6988,0,0,0,0,0,0,0,0,0,24300,0.1,7.791,41.1,2.616,2.728,13.211,56.594,62.831,31.936,35.117,39.531,43.609,42.751,38.841,36.165,7.349,462.27
MEDIO,2077.6397515528,10.3326086956522,0.066459627329193,6.66149068322981,21.0869565217391,22838.5093167702,0.049751552795031,4.6583850931677,7.48757763975155,51.1795031055901,46.3354037267081,1.51299126705311,0.194,0.132,0.05,0.05,0.05,0.05,0.05,0.05,0.141,0.186,0.05,0.05,0.05,0,0,4.1131,0,0,0,0,0,0,0,0,0,6800,0.83,0.1,4.804,0.1,0.1,2.743,0.495,0.449,0.1,0.1,0.208,0.1,0.1,0.1,0.224,0.1,10.653
ASSENTE,1864.36923076923,9.66092307692308,0.049846153846154,3.96307692307692,4.03076923076923,8236.92307692308,0.0528,11.0153846153846,3.12246153846154,19.0132307692308,9.81538461538461,1.20174973286788,0.133,0.124,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.056,0,0,0,0,0,0,0,0,0,0,1.142,0.1,3.963,0.1,0.1,1.549,0.579,0.699,0.258,0.365,0.574,0.331,0.481,0.422,0.525,0.1,11.288
ASSENTE,1101.46706586826,9.8059880239521,0.045808383233533,4.11976047904192,2.78443113772455,6170.65868263473,0.037065868263473,7.84431137724551,2.00329341317365,16.2946107784431,7.9940119760479,2.03185764301728,0.102,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.049,0,0,0,0,0,0,0,0,0,0,1.466,0.1,2.692,0.1,0.1,5.394,0.397,0.469,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11.518
ASSENTE,1675.2427184466,8.27928802588997,0.046278317152104,6.81553398058252,2.88025889967638,13582.5242718447,0.040582524271845,7.83171521035599,2.24012944983819,15.6294498381877,6.69902912621359,2.05969772571217,0.182,0.176,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.017,0,0,0.0574,0,0,0,0,0,0,0,0,0,6900,2.714,0.22,20.661,0.329,7.91,7.488,1.953,1.132,0.1,0.24,0.1,0.1,0.1,0.1,0.1,0.1,43.347
ASSENTE,1724.46153846154,7.48087912087912,0.04021978021978,5.40659340659341,2.3956043956044,6004.39560439561,0.025142857142857,8.3956043956044,1.93516483516484,18.1973626373626,7.53846153846154,0.839392188835865,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0591,0,0,0,0,0,0,0,0,0,5500,0.1,0.1,3.139,0.1,0.1,1.173,0.351,0.374,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.237
MOLTO ALTO,1952.20189274448,7.04921135646688,0.146056782334385,7.46750788643533,21.7034700315457,21854.8895899054,-1,36.0883280757098,17.6,27.0277602523659,67.8864353312303,12.9683566760037,-1,0.174,-1,-1,0.343,0.245,-1,,0.44,0.56,-1,-1,0.231,3.3403,0.8815,2.6089,0.0549,-1,-1,-1,-1,-1,-1,-1,0.02,20000,0.735,5.982,24.499,11.719,7.54,24.598,56.283,63.921,15.37,19.624,24.458,20.512,20.456,17.513,13.318,3.731,330.259
ALTO,1352,7.41201201201201,0.103903903903904,5.42222222222222,19.1291291291291,20111.1111111111,0.001741741741742,24.3603603603604,9.17477477477478,28.0018018018018,57.4174174174174,14.6026392468576,0.137,0.144,-1,-1,0.188,0.247,-1,,0.08,0.471,-1,-1,0.205,1.5296,0.8085,2.838,0.075,-1,-1,-1,-1,0.03,-1,-1,0.08,15000,1.215,4.126,16.404,1.472,1.105,5.591,48.857,51.006,12.716,17.191,25.514,17.408,18.488,27.958,20.769,7.17,276.99
ASSENTE,2121.93370165746,9.47375690607735,0.049447513812155,5.80110497237569,6.65745856353591,10154.6961325967,0.048121546961326,12.9558011049724,4.25138121546961,27.4566298342541,33.646408839779,0.542730795826705,0.23,0.199,0.05,0.05,0.167,0.207,0.05,0.05,0.281,0.338,0.05,0.05,0.152,0.5634,0.3151,0.2594,0,0,0,0,0,0,0,0,0,0,7.157,3.128,16.093,42.105,1.746,3.69,19.258,21.118,10.606,12.763,13.853,12.967,14.044,10.793,10.99,2.143,202.454
BASSO,2644.01812688822,10.9392749244713,0.041993957703928,6.55891238670695,3.50453172205438,6845.92145015106,0.038489425981873,6.94864048338368,2.35921450151057,17.7114803625378,8.06646525679758,2.24454175063746,0.05,0.124,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0928,0.0469,0.0964,0,0,0,0,0,0,0,0,0,0,7.462,4.195,22.299,10.205,0.858,1.505,44.268,51.647,20.274,26.431,20.971,21.559,21.449,12.68,12.239,3.039,281.081
BASSO,1251.28133704735,10.8966573816156,0.039275766016713,4.67688022284123,2.0891364902507,6027.85515320334,0.036211699164345,16.100278551532,1.87353760445682,14.5696378830084,4.73537604456825,6.76929588593512,0.105,0.118,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0519,0,0,0,0,0,0,0,0,0,0,1.542,0.588,11.925,1.551,0.447,12.779,2.084,6.663,1.031,3.545,1.305,1.713,1.559,1.559,1.349,0.276,49.916
BASSO,1608.63888888889,10.0813888888889,0.056666666666667,10.9388888888889,2.61111111111111,5658.33333333333,0.035722222222222,12.1388888888889,2.72861111111111,19.1902777777778,4.47222222222222,5.62,0.146,0.132,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0697,0,0,0,0,0,0,0,0,0,0,6.8,0.1,9.942,0.493,0.1,5.646,2.182,1.141,0.1,0.365,0.1,0.1,0.1,0.1,0.1,0.1,27.469
ALTO,947.141104294479,5.83588957055215,0.093251533742331,4.31165644171779,11.3803680981595,14708.5889570552,0.00398773006135,16.8588957055215,16.240490797546,36.2733128834356,73.7116564417178,14.3978122816868,0.446,0.591,-1,-1,0.985,0.783,-1,,0.852,1.26,-1,-1,0.527,0.5781,0.4689,2.0631,0.0377,-1,-1,-1,-1,-1,-1,-1,0.05,15000,0.084,10.718,29.905,2.857,4.015,8.162,65.075,71.79,29.743,32.674,40.412,38.938,37.459,35.707,27.51,7.376,442.425
ALTO,1267.30699088146,8.21793313069909,0.09483282674772,5.53434650455927,13.7082066869301,19057.7507598784,-1,28.3525835866261,14.2079027355623,26.8838905775076,58.5106382978723,23.8632257815366,0.262,0.317,-1,-1,0.543,0.621,-1,,1.04,1.181,0.135,-1,0.907,0.7456,0.4954,1.4157,-1,-1,-1,-1,-1,-1,-1,-1,0.07,32000,0.634,2.027,9.961,0.759,0.926,2.633,27.886,31.789,7.283,10.394,14.722,10.311,10.429,11.694,9.609,2.383,153.44
ASSENTE,3194.95548961424,8.14154302670623,0.035311572700297,18.4718100890208,3.85756676557863,8789.3175074184,0.038160237388724,14.6884272997033,2.42967359050445,24.3080118694362,7.83382789317507,2.21711625707533,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.2961,0,0,0,0,0,0,0,0,0,5800,0.67,0.1,11.92,0.1,1.7,0.65,1.148,0.641,0.1,0.652,0.905,0.1,0.589,0.1,0.263,0.1,19.738
MEDIO,8973.2298136646,9.52142857142857,0.05527950310559,7.19565217391304,11.9565217391304,17875.7763975155,0.06583850931677,19.4099378881988,6.70931677018634,54.1841614906832,40.776397515528,9.30647123015517,0.05,0.169,0.05,0.05,0.066,0.05,0.05,0.05,0.164,0.25,0.05,0.05,0.25,0.8061,0.2068,0.5479,0,0,0,0,0,0,0,0,0,11700,0.1,4.3,23.138,0.4,0.1,4.4,31.209,31.46,17.738,18.871,32.21,26.034,32.179,21.327,19.396,4.447,267.309
MOLTO ALTO,24010.0558659218,4.70586592178771,0.086312849162011,4.28491620111732,16.145251396648,21343.5754189944,0.048435754189944,33.9944134078212,6.15782122905028,54.9720670391062,47.8212290502793,1.99957823774959,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,10.1068,0,0,0,0,0,0,0,0,0,0,0.6,0.1,12.966,1.276,0.5,2.3,1.883,1,0.281,1.074,3.72,0.377,2.216,0.302,0.405,0.1,29.1
BASSO,4383.69318181818,10.9613636363636,0.041761363636364,4.11079545454546,4.00568181818182,8463.06818181818,0.037215909090909,12.2443181818182,3.10596590909091,26.1829545454545,12.2727272727273,5.86,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.0285,0.1826,0,0,0,0,0,0,0,0,0,0,6.248,1.274,75.505,0.8,0.6,3.5,7.646,6.297,3.806,6.806,12.759,3.747,12.168,3.818,3.4,0.914,149.288
ASSENTE,1114.55331412104,10.7613832853026,0.040345821325648,3.49279538904899,2.39193083573487,5962.53602305476,0.037521613832853,19.1066282420749,2.15417867435159,15.8250720461095,2.10374639769452,1.68102754185493,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0835,0,0,0,0,0,0,0,0,0,0,0.63,0.347,42.804,0.1,0.7,8.1,2.648,1.322,0.44,1.636,1.7,0.37,1.314,0.363,0.368,0.1,62.942
ASSENTE,959.047619047619,8.88511904761905,0.037797619047619,5.13988095238095,1.875,4910.71428571429,0.035,12.2619047619048,1.9922619047619,12.3190476190476,2.20238095238095,1.72241530447549,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0342,0.0656,0.1873,0,0,0,0,0,0,0,0,0,0,0.8,2.5,30.2,0.4,0.2,3.3,25.364,9.546,0.549,5.809,6.317,0.429,3.268,0.451,0.374,0.1,89.607
ASSENTE,2073.91176470588,8.08588235294118,0.038235294117647,5.92058823529412,3.35294117647059,6558.82352941176,0.034352941176471,11.0294117647059,2.22411764705882,19.7832352941177,8.23529411764706,2.41773814667898,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.124,0.144,0.05,0.05,0.113,0,0,0.1562,0,0,0,0,0,0,0,0,0,0,0.7,0.1,11.942,0.579,0.9,0.5,2.032,0.8,0.1,0.965,1.218,0.1,0.787,0.231,0.228,0.1,21.282
ALTO,1569.27687296417,7.56091205211726,0.107817589576547,6.38436482084691,20.7166123778502,20788.2736156352,-1,25.6416938110749,14.5798045602606,47.3638436482085,63.3550488599349,15.2384295241438,-1,0.142,-1,-1,0.275,0.267,-1,,0.426,0.474,-1,-1,0.252,0.5976,0.4845,2.001,0.0213,-1,-1,-1,-1,-1,-1,-1,0.07,14000,0.813,4.448,7.084,0.901,0.955,2.429,29.988,33.974,8.689,12.48,14.374,13.908,11.516,13.201,10.986,2.448,168.194
ALTO,1419.38461538462,7.00416666666667,0.1,6.77179487179487,21.4423076923077,20250,-1,26.8205128205128,13.2948717948718,31.2785256410256,60.1602564102564,3.65788153300147,0.272,0.198,-1,-1,0.186,0.287,-1,,0.487,0.595,-1,-1,-1,1.1447,0.6006,2.4926,0.0285,-1,-1,-1,-1,-1,0.02,-1,0.09,2100,0.08,4.114,13.372,2.791,1.587,6.605,64.215,76.139,21.177,23.036,26.704,25.66,25.484,17.919,16.764,4.094,329.741
ASSENTE,2993.24074074074,8.81697530864198,0.065123456790123,9.58024691358025,13.858024691358,13546.2962962963,0.058024691358025,27.3148148148148,6.68827160493827,37.4503086419753,33.1172839506173,1.74494673078052,0.05,0.05,0.05,0.05,0.103,0.117,0.05,0.05,0.195,0.242,0.05,0.05,0.105,0.31,0.212,0.7976,0,0,0,0,0,0,0,0,0,5800,0.7,0.917,7.438,13.563,0.6,2.1,17.285,18.421,5.559,7.111,9.746,6.466,8.8,6.004,6.219,1.415,112.344
TRASCURABILE,1400.36827195467,10.7793201133144,0.044759206798867,3.8385269121813,3.51274787535411,7368.27195467422,0.039206798866856,11.5297450424929,2.85325779036827,18.2589235127479,11.3031161473088,2.49779098392111,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.02,0.089,0,0,0,0,0,0,0,0,0,6200,0.7,2.398,96.712,1.561,1.2,1.6,1.527,0.931,0.343,1.032,6.267,0.504,4.716,0.429,0.415,0.1,120.435
ASSENTE,1251.19402985075,10.4513432835821,0.040597014925373,3.72835820895522,1.82089552238806,5740.29850746269,0.038567164179105,11.6417910447761,2.02716417910448,14.489552238806,3.46268656716418,1.76144067134675,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0653,0,0,0,0,0,0,0,0,0,0,1.2,0.621,3.744,26.98,2.4,0.9,2.546,1.993,0.938,2.495,12.659,4.828,7.521,13.139,11.885,1.846,95.695
ASSENTE,1512.08333333333,7.58083333333333,0.043888888888889,3.60277777777778,2.61111111111111,5805.55555555556,0.0355,10.9722222222222,2.17888888888889,14.15,1.36111111111111,1.98480890093794,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0367,0.0732,0.1478,0,0,0,0,0,0,0,0,0,0,2.191,0.1,5.622,3.767,1.661,5.4,2.144,1.056,0.1,1.385,2.645,0.1,1.984,0.566,0.407,0.1,29.228
ALTO,1040.10158730159,6.26603174603175,0.067936507936508,2.93587301587302,9.52380952380952,15704.7619047619,-1,13.1301587301587,8.50539682539683,18.4276190476191,37.7777777777778,17.4924706799971,0.112,0.133,-1,-1,0.144,0.192,-1,,0.269,0.332,-1,-1,0.181,0.3704,0.259,0.991,-1,-1,-1,-1,-1,-1,-1,-1,0.04,14000,0.346,13.781,27.187,2.221,1.087,4.524,106.655,103.248,31.356,32.105,34.808,39.529,34.905,32.273,24.634,6.289,494.948
